Name,Address,Website,Phone
BARISTA COFFEE COMPANY,"SEASONS MALL, 1st Floor, Shop No.S 35 B, Magarpatta Police Station Road, Magarpatta, Pune",http://www.barista.co.in/,N/A
Cafe Arabia - Seasons Mall,"3rd Floor, Seasons Mall Hadapsar, Magarpatta, Hadapsar, Pune",N/A,096233 11115
KFC,"1st Floor, SEASONS MALL, Magarpatta, Hadapsar, Pune",https://online.kfc.co.in/,N/A
Hotel Surya,"29, 1, lonkarnagar, Keshav Nagar, Mundhwa, Pune",http://hotelsuryavilla.com/,091307 50410
"Misal Katta, Keshavnagar","Manjari Road, Lonkar Vasti, Keshav Nagar, Mundhwa, Pune",N/A,N/A
Aryan's Family Restaurant & Bar,"32/2/6, Sr No 26/3 B, Manjari Village Road, Lonkar Wasti, Keshav Nagar, Mundhwa, Mundhwa - Manjari Road, Lonkar Nagar, Sade Satra Nali, Pune",https://technoflybusinesssolutions.com/cards/aryans-restaurant-and-bar-696,091300 09130
Faaso's,"Closed, SHOP NO-23 DESTINATION CENTER UPPER GROUND FLOOR, Magarpatta, Pune",N/A,077000 20020
Happy Crust,"BT-18, DC Road, Magarpatta, Hadapsar, Pune",N/A,099223 88855
Little India,"Shop 23, 24, DC Road, Magarpatta, Hadapsar, Pune",N/A,088550 44924
Treebo Trend Park View - Hotel in Hadapsar Pune,"behind Laxman Villa, S. No. 161, GP Pradhan Garden Road, Bhosale Nagar, Hadapsar, Pune",https://www.treebo.com/hotels-in-pune/treebo-trend-park-view-hadapsar-221/?utm_source=partnerships&utm_medium=gplus&utm_campaign=hotelparkview,093228 00100
bashree hotel behind SBI Bank & SBI ATM.Hadapsar Pune.,"GW5G+HC6, Magarpatta, Hadapsar, Pune",N/A,N/A
Kalyan Bhel,"Laxmi Vihar, Hadapsar, Pune",https://kalyanbhel.in/,093717 11112
Kokkita Restaurant and Bar,"Kokkita Restaurant, near Samidha Gas, Tupe Patil Road, Hadapsar, Pune",N/A,073502 19595
Punjabi Grill,"SHOP NO. 16, Ghule Park, near SHREE MAHALAXMI BIRYANI HOUSE, Tupe Patil Road, Hadapsar, Pune",N/A,098229 86574
Rasika Restaurant,"Shop No. 7, Bhosales Garden's, Aru Nagar, Triveni Nagar, Hadapsar, Pune",N/A,N/A
Pizza Point,"Shop No. 37, Ravi Darshan Shopping Complex, Pune - Solapur Road, Sadhana Society, Hadapsar, Pune",N/A,072767 25445
Authentic Royal Restaurant,"institute of yoga, Authentic Royal Restaurant Behind Noble Hospital, Opposite Shriyog, Bypass Road, Magarpatta, Hadapsar, Pune",N/A,090283 90888
Food Connection,"near Gas godown, Dhaykar wasti, near Gas godown, Hadapsar Station Bridge Path, Pingale Wasti, Mundhwa, Pune",N/A,098818 02777
Prabhat Chicken Center,"Chintamani Plaza, Solapur - Pune Highway, Utkarsh Nagar, Hadapsar, Pune",N/A,080071 99986
Baramati Agro Ltd Chicken Shop,"FWXM+CCR, opp. Sation, near Sai Mindir, Sation, Mundhwa Road, Hadapsar Gaon, Hadapsar, Pune",https://baramatiagro.com/,072762 00816
Hotel Samrat,"FWXX+MQG, Aakashwani Kendra, Pune-Solapur Road, Hadapsar, near Tekawade Petrol Pump & CNG, Pune",N/A,077200 18181
AMIR CHICKEN SHOP,"Bus Stop, Sainath Nagar, Kharadi, Pune",N/A,098503 95915
Gandharva Residency - Hadapsar,"Sr No. 280, 26, Pune - Solapur Road, Laxmi Colony, Hadapsar, Pune",https://gandharvaresidency.com/,080872 04848
Carnival Restaurant & Bar Pune,"Survey no.:- 84/33 Koregaon Park, Mundhwa Road, Pune",N/A,097625 55555
Hotel Vijayraj,"opp. Hadapsar Gliding Center, Sainagar, opp. Hadapsar Gliding Center, Pune Saswad Road, Satavwadi, Hadapsar, Pune",N/A,020 2699 4439
Hotel Sagar,"Shop No 2-3, Deveshree Heights P-H1, Vaiduwadi, Hadapsar,, Pune",N/A,N/A
Kimchi,"Sambhaji Nagar, Kharadi, Opp. Hyundai Showroom, Pune",N/A,080879 88988
Spice Factory,"above ICICI Bank, Mundhwa - Kharadi Road, Kharadi, Pune",N/A,099750 75055
Punjab Flavours,"GWXR+VPW, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",N/A,086009 74400
BOX8 - India's Largest Desi Meals Brand,"SSR Tower, IT Park, opp. Zensar I.T. Park, Gera Commerzone IT Park Road, Kharadi, Pune",https://box8.in/,022 3355 2698
Chulbul Dhaba,"Sr. No. 6, opp. Zensar IT Park, 2/23, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",http://www.chulbuldhaba.com/,N/A
Satguru's Punjabi Rasoi,"opp. Telephone Exchange, s. No.6/2, Kharadi, Pune-411014, opp. Telephone Exchange, Pune",N/A,080555 70075
Kolkata Rolls : Online Orders Accepted,"shop no.4,Willtek House,, Opp. Zensar tech., Kharadi, Pune",N/A,087885 91767
YA BASA - Kitchen & Bar(Seafood Special),"IT Park, Sr No 6/2/20 Opp Zensar, Kharadi, Pune",http://wcom.me/002ge8m,077200 73535
Texas Tower,"9th Floor, Stellar Spaces, opp. Zensar IT Park, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",https://texastower.in/,080878 20044
Monginis Cake Shop,"Sr No 311, Gandharv Geet, Shop No AO2, H No 18, Sasane Nagar Road, Pune",https://cakeshops.monginis.net/monginis-cake-shop-kian-enterprises-sasane-nagar-cake-shop-sasanenagar-pune-165961/Home?utm_source=locator&utm_medium=googleplaces,090750 01616
Starbucks,"No 11, GF, Amanora Park Town Munthwa, Mundhwa - Kharadi Road, Hadapsar, Pune",https://tsb-stores.starbucksindia.net/starbucks-amanora-mall-coffee-shop-hadapsar-pune-283424/Home?utm_source=locator&utm_medium=googleplaces,1860 266 0010
McCafe Pune Magarpatta Seasons Mall,"Magarpatta, Hadapsar, Pune",https://www.mcdelivery.co.in/home,089283 04182
Starbucks,"Infront of, Amanora Mall, Seasons Mall, Mundhwa Road, Magarpatta, Hadapsar, Pune",https://tsb-stores.starbucksindia.net/starbucks-seasons-mall-coffee-shop-hadapsar-pune-283266/Home?utm_source=locator&utm_medium=googleplaces,1860 266 0010
Cafe Cream,"sr no 6, Patil buva nagar, opp zensar, Kharadi, pune 14, Pune",http://www.cafecreme.co.in/,N/A
Subway WTC 3,"Tower 3, WORLD TRADE CENTER, Dholepatil Farms Road, EON Free Zone, Kharadi, Pune",https://subway.in/,073037 21563
Kasba,"Lobby Level, Royal Orchid, Golden Suites, Kalyani Nagar, Pune",N/A,020 4013 1234
The Sticky Grill,"Shop No. 39, Durvankur Apartments, Rakshak Nagar 2,Kharadi Road, Maharashtra State Highway 27, Ashoka Nagar, Kharadi, Pune",N/A,N/A
McDonald's,"Vascon Mariplex Mall, Sy No 15, Gr Floor, Marigold Complex Wadgaon Sheri, Kalyani Nagar, Pune",https://mcdelivery.co.in/restaurants/pune/16/order-food-online-in-McDonalds-kalyaninagar-kalyaninagar,089283 04027
Masala Cafe,"HW6Q+Q83, Below Pune Fitness Club Kharadi, Mundhwa - Kharadi Road, Chandan Nagar, Pune",N/A,098817 47288
Beetroot Bistro,"B13/B14 Vidyut Nagar End of, Lane Number 6, Koregaon Park, Pune",https://www.instagram.com/beetrootbistro/,097664 53254
Dario's Restaurant Café Bar,"Calyx 19 Vidut Nagar Society, near Durga Mata Temple, Lane Number 5, Koregaon Park, Pune",N/A,089566 10501
High Spirits Cafe,"35A, next to The Westin, 1, North Main Road, Koregaon Park, Pune",http://dahigh.com/,097654 00484
Emmer bakery,"Liberty House, E-1, North Main Road, Liberty Phase 2, Koregaon Park, Pune",http://www.emmerbakery.com/,091302 54753
Café Coffee Day,"1st Floor, Yummy Tummy, Cybercity, Magarpatta, Hadapsar, Pune",https://hadapsar.cafecoffeeday.com/,1800 102 5093
DATS coffee,"Hadapsar, Pune",N/A,086238 38701
The British Bakes,"GWCQ+8J6, Amanora Park Town Main Road, Amanora Park Town, Hadapsar, Pune",N/A,092575 83737
AmritaParyani.ART,"Amanora Park Town, Hadapsar, Pune",N/A,091756 50364
Healthy Heaven,"EBZ, Shop No - 09, behind Amanora Mall, near Tupe Corner, 9 A, Hadapsar, Pune",N/A,070835 55125
AIKYAM - THE BLEND BISTRO,"TUPE CORNER, behind Amanora Mall, Hadapsar, Pune",N/A,N/A
Rudreshwar Snacks And Tea,"Amanora Park Town, Hadapsar, Pune",N/A,084297 06922
Chikka Enterprises,"opp. Amanora Park Town, Hadapsar, Pune",N/A,089564 75473
Sahil Enterprises,"Shop No 01, opp. New Ganesh Madrie, Kharadi - Hadapsar Bypass Road, Pune",N/A,075592 62576
RATHI ENTERPRISES,"1353, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Cafe Tea Date - Spread Love with Flavours,"Tupe corner, behind Amanora Mall, Tupe Patil Road, Hadapsar, Pune",N/A,N/A
Cafe Inertia,"Pawar Public School Street, Amanora Park Town, Pune",N/A,N/A
Qwiikys Cafe,"inside Reliance smart Bazaar, near Amanora Mall, Magarpatta, Hadapsar, Pune",N/A,N/A
The Chocolate Room,"Mundhwa - Kharadi Road, Hadapsar, Pune",https://www.thechocolateroomindia.com/,091603 79955
THE MOCKTAIL CAFE,"Amanora Park Town, Hadapsar, Pune",N/A,077700 35722
MADELINE CAFE,"Amanora Mall, Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Chaha point,"GW7Q+XPM, Ramchandra Sakure Marg, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Fresh cut,"GW7Q+WMG, Ramchandra Sakure Marg, Sector R2, Amanora Park Town, Hadapsar, Pune",N/A,081800 59976
Carnimax,"2nd Floor, East Block, Food Court, Amanora Mall, Hadapsar, Pune",N/A,091404 16813
THE Saw Kitchen & Cafe,"Shop No 3, next to Car Carez, opposite Dsk Toyota showroom, Ramchandra Sakure Marg, Hadapsar, Pune",N/A,092720 98010
SUDAMA BHEL,"Gandharav complex, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Pizza and burger house,"Anand Nagar, Keshav Nagar, Mundhwa, Pune",N/A,N/A
"Theobroma Bakery and Cake Shop - Magarpatta, Pune","Ground Floor,Sr. No 138/9+11 The Cosmtjopolis' Opporite, 2, Mundhwa Road, Magarpatta, Hadapsar, Pune",https://order.theobroma.in/order/theobroma-magarpatta-pune,081828 81881
Reishi Juice House & Cafe,"Upper Ground Flood, Gandharva Galaxia Raskar Chowk, Amanora Park Town Main Road, Hadapsar, Pune",N/A,070677 40438
Smoosh Bar,"Amanora Plaza, Pune",https://instagram.com/smooshbar,096731 36599
Amanora Urban Plaza,"Future Towers, Amanora Park Town Main Road, Amanora Park Town, Hadapsar, Pune",https://amanora.com/plaza,N/A
Premacha Chaha,"GWFM+89F, Amanora Park Town, Hadapsar, Pune",https://premachachahaindia.com/,074475 80201
Timri's,"Shop no.07 , lower ground floor, Gandharva Galaxia, next to S kumar vadewale, near KONARK VISTA, Hadapsar, Pune",N/A,070170 39315
The Belgian Waffle Co,"upper ground shop no.10, saade satra nadi, Gandharva Galaxia, Magarpatta Road, Amanora Park Town, Hadapsar, Pune",https://thebelgianwaffle.co/,070390 39908
Best Town Cafe,"BTC Pune Shop 2 & 3, Near Amanora Bus Stop, Opposite Seasons Mall, Sr No 139, Magarpatta Road, Hadapsar, Pune",http://zoma.to/r/19626600,N/A
Kanifnath Food Court,"Amanora Park Town, Hadapsar, Pune",N/A,N/A
Cafe- The Tasty Feast,"Shop no 14 Gandharva galaxy Amanora, Magarpatta Rd, near Mundhwa, Hadapsar, Pune",N/A,099752 22111
Nova Brew,"Shop No 1, Future Towers, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Bake Fairy,"Survey Number 36, Wing E, Prestige Chamber, shop no 65 and 66, Keshav Nagar",N/A,N/A
Crazy Cheesy Cafe - Hadapsar,"S.No, Lotus gold, next to Indian Overseas bank, 140/24, Magarpatta Road, Hadapsar, Pune",https://www.crazycheesy.com/,099220 97627
Bingsu Point,"GWFJ+FXG, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Truly fresh,"Seasons mall, Magarpatta, Pune",N/A,088890 19052
Be-Rich Coffee,"next to Seasons Mall, Magarpatta-Mundhwa Road, next to Seasons Mall, near MARVEL DIVA, Society, Pune",N/A,099227 74415
Coffee Tree,"Seasons Mall, 3rd Floor, Magarpatta City, Hadapsar, Pune, Hadapsar, East Pune, Pune",N/A,077699 21015
Irani Cafe - Magarpatta,"Shop No. 2, Konark Icon, next to Maruti Suzuki Showroom, Magarpatta, Hadapsar, Pune",https://www.iranicafe.in/,074200 16285
Khardi,"GW8M+43H, Mundhwa - Kharadi Road, Magarpatta, Hadapsar, Pune",N/A,N/A
Tea Post,"3rd, SEASONS MALL, Unit No T-20A + T20B, Magarpatta, Hadapsar, Pune",http://teapost.in/,063511 07882
The Belgian Waffle Co,"Kiosk No. Kt-04, Third Floor, SEASONS MALL, Magarpatta, Hadapsar, Pune",https://thebelgianwaffle.co/,086578 97921
"Heaven Craze cafe / restaurant , snooker and playstation","heaven craze, amnora turf club (Soccer turf, near amnora fire station, beside LEISURE TOWN, road, Malwadi, Hadapsar, Pune",https://wa.me/c/918446079000,084460 79000
Baker's Basket Magarpatta - Online Cake Delivery in Pune,"Shop No 11, Nirvana Arcade, opp. Magarpatta, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune",http://www.bakersbasket.in/,N/A
New Poona Bakery,"Wadekar mala, Sadesatra nali Road, Keshav Nagar, Mundhwa, Pune",N/A,082638 39563
WS Bakers,"opp. Magarpatta South Gate, Shop No 5, Sudarshan Heritage, Magarpatta Rd, opp. Magarpatta South Gate, Hadapsar, Pune",http://www.wsbakers.com/,076662 48833
Kekiz The Cake Shop,"shop no10.,Gurukrupa corner, Sainath Nagar, Kharadi, Pune",https://kekiz.com/,099224 35116
New Poona Bakery,"Shri Siddhi Garden, Shri Ganesh Vihar, Sasane Nagar, Hadapsar, Pune",N/A,086004 66623
Modern Food,"Sr.No 110, Thombare Wasti, Nr. Aaimata Chowk,, Ramtekadi, Hadapsar, Pune",N/A,070283 24696
Jacarendaa,"Shop No.15, Parmar Park, Reliance-Eon Road, Kharadi, Near Red Chilly Hotel, Pune",N/A,098812 56192
Golden Cakes & Cookies,"FWRJ+G6Q, Shop No. 5, Building C, Gandharva Geet, Ramtekadi Road, Kanifnath Colony, Sasane Nagar, Hadapsar, Pune",N/A,084465 22777
PIRAJEES CAKE SHOP,"Opp Bharat Petroleum, Shop No 1, Laxmi Arcade, S No 69, Opp Bharat Petroleum, Bhagwan Tatyasaheb Kawade Road, Ganesh Nagar, Ghorpadi, Pune",http://www.pirajees.com/,098220 23456
Copper Chocs Sopan Baug,"Silver Arches, off Solapur Road, Society, Sopan Baug Society, Ghorpadi, Pune",https://www.copperchocs.com/,084460 36402
Daily Treats,"The Westin Pune Koregaon Park, 36/3-B Koregaon Park Annexe Mundhwa, Road, Ghorpadi, Pune",https://www.marriott.com/en-us/hotels/pnqwi-the-westin-pune-koregaon-park/dining/,020 6721 0000
WS Bakers Manjari (Gawali Vasti),"Sai Corner, Bhavani Nagar, Gawali Wasti, Manjari Road, Manjari Budruk, Pune",http://www.wsbakers.com/,073505 70079
Caramella’s cake shop,"hardware, opposite to Jaihind, Saswad Road, Bhekrai Nagar, Pune",http://caramellas.in/,096738 22925
Shree Ganesh Bakery,"behind Anant Theater, Shravasti Nagar, Ghorpadi, Pune",N/A,096048 41781
Monginis Cake Shop,"near Hotel Shriman, Shewalewadi Phata Manjri Farm, Solapur Road, Haveli, near Hotel Shriman, Pune",https://cakeshops.monginis.net/monginis-cake-shop-shree-gajanan-bakers-shewalewadi-cake-shop-haveli-pune-165944/Home?utm_source=locator&utm_medium=googleplaces,083808 58697
MARVELS CAKE N BAKE,"GANGA CONSTELLA, near Gera Commerzone IT Park Road, Shop1, खराडी, पुणे",N/A,098813 32666
Monginis Cake Shop,"Shop No 15, Karan Ashiyana Apartment, near Shubham Bus Stop, Wadgaon Sheri, Pune",https://cakeshops.monginis.net/monginis-cake-shop-shailendra-foodstuff-wadgoansheri-cake-shop-wadgaon-sheri-pune-165943/Home?utm_source=locator&utm_medium=googleplaces,097639 78264
Anka's Cakes n Cafe - Customize Cake Shop in Kharadi,"Shop No. 22, Gera Imperium Alpha, Vitthal Nagar, Kharadi, Pune",https://www.ankas.in/,092209 26242
Janata Bakery,"Jai Hind Chowk, Ghorpadi Road, Goan, Ghorpadi, Pune",N/A,098501 32112
Monginis Cake Shop,"S No 173, Shop No 1, Shewale Tower, Shewale Chowk, near Bus Stop, Pune Saswad Road, Bhekrai Nagar, Pune",https://cakeshops.monginis.net/monginis-cake-shop-sai-shirish-cake-shopee-fursungi-cake-shop-bekrai-ngr-pune-169724/Home?utm_source=locator&utm_medium=googleplaces,098505 75700
"WS Bakers, Kharadi","Shop Number 03, Building Number 01 Rakshak Nagar Phase 2, Survey Number, 39/1A, Kharadi Chowk, Kharadi, Pune",http://www.wsbakers.com/,098225 94008
Diamond Bakery,"47, Vitthal Rao Shivarkar Road, Fatima Nagar, Wanwadi, Pune",N/A,084848 62660
Forennte Patisserie,"Shop 1, 2, Princeton Flair, Lane Number 8, Koregaon Park, Pune",https://forennte-patisserie.godirekt.in/spark/app/#/mainpage,088018 15555
The cake and cream Factory,"Shop No 4, Gulmohar Gardens, next to Naturals Ice Cream, Lane Number 7, Meera Nagar, Koregaon Park, Pune",N/A,093268 70657
Jacarendaa,"Fortaleza Complex, Victoria, near HDFC Bank, 14, plaz, Kalyani Nagar, Pune",N/A,098812 56192
Modern Cakes,"Deokar House, 40, near Lotus Hotel, Lane Number 5, Koregaon Park, Pune",https://link.zomato.com/xqzv/rshare?id=687282413056310a,020 2615 8122
Monginis Cake Shop,"Sr No, near Manohar Club Center, 163, Pune - Solapur Road, Hadapsar, Pune",https://cakeshops.monginis.net/monginis-cake-shop-malini-foods-hadapsar-cake-shop-hadapsar-pune-165940/Home?utm_source=locator&utm_medium=googleplaces,098810 92614
Bread Story,"Shop No. BG 20, Destination Center, Magarpatta City, Hadapsar, Pune",N/A,093710 45042
Sagar Chole Bhature,"GW9P+MVR, Tupe Patil Road, Amanora Park Town, Hadapsar, Pune",N/A,N/A
"Creme De Fiesta - Best Cake Shop in Amanora, Hadapsar","Creme De Fiesta, near Balaji Mart, opp. Pawar Public School Street, Baburao Shankarrao Tupe Road, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Flourish By Poornima Iyengar,"MARVEL ARCO, behind Amanora Town Centre, in front of Sadhna Sahakari Bank, next to NEO Towers, C601, Pune",N/A,096733 36468
Gana's Cakes ( Homemade ),"GREENFIELD SOCIETY, Greenfield Road, अमनोरा पार्क टाउन, हडपसर, पुणे",N/A,N/A
Jagtap Wadewale,"Shop No 1, Mundhwa, Pune",N/A,078757 15857
The Baking Bro,"Tower no 40 Andreno, Amanora Park Town, Pune",N/A,087677 26542
Cake Point (Cake Place),"GWFM+7CX, Mundhwa Road, Magarpatta, Hadapsar, Pune",N/A,N/A
7th Heaven Cake Shop Magarpatta,"in front of SEASONS MALL, next to Amanora Mall, Kharadi - Hadapsar Bypass Road, पुणे",N/A,084119 42100
Bakers Brown,"Future Towers, Amanora Plaza, Pune",N/A,N/A
Cookie Tookie Bakery,"Future Towers, Amanora, Pune",http://cookietookiebakery.in/,075587 22622
Saundhi's Bakery,"Future Towers, AMANORA APARTMENT, Amanora Park Town, Pune",https://instagram.com/saundhibakery,N/A
Nehas Bakery,"shop pls, call/whatsapp, Home bakery in amanora future towers. It's not a, Pune",https://www.instagram.com/nehasbakery,096047 99693
Cinnamon & Sugar,"Anand Nagar, Keshav Nagar, Pune",https://www.instagram.com/cinnamonxsugar.co?igsh=bjJrYnNlM2k0ZWg0&utm_source=qr,N/A
CakeAlacious,"Kumar Privie Sienna, 238, Magarpatta Road, Pune",N/A,095036 31638
Mad Over Donuts,"Level 3, SEASONS MALL, Magarpatta, Hadapsar, Pune",https://madoverdonuts.com/,N/A
Essence Of Ecstasy,"A 801, Hadapsar, Pune",N/A,N/A
Gajanan jadhav,"The Hdfc School, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Waffle House,"next to fml , seasons mall, S34 A - 2nd floor, next to fml , seasons mall, Magarpatta, Hadapsar, Pune",N/A,N/A
The Baking Project 2.0,"M303, LABURNUM PARK, Royastonea Society Road, Magarpatta, Hadapsar, Pune",N/A,097300 49317
Crumble and Co.,"Main Gate, opposite Magarpatta, behind Kalyan Jewellers, Magarpatta Road, Pune",N/A,N/A
Choctastic,"Mundhwa, Pune",N/A,N/A
SB's Cakes,"Venkatesh Graffiti, K-304, Keshav Nagar, Mundhwa, Pune",https://instagram.com/sheetal.bhatt.7?igshid=YmMyMTA2M2Y=,N/A
Empire Cake & Bite,"near Chandu Kaka jewellers, near Magarpatta, Magarpatta, Main Gate, Pune",N/A,088889 78774
The Bake 'N' Cake - Best Cake Shop in Pune,"GW6R+44W, Sade Satra Nali, Hadapsar, Pune",N/A,N/A
"Domino's Pizza | Malwadi, Pune","Shri Swami Samarth Nagar, Shop No:4,5,14,15,16 & 17 Fortune Plaza, Survey No.44, D.P. Road Hissa No.A Near Sayyed Nagar Railway Gate Mouje Hadpsar ground floor Sasane Nagar DP Road Vardhaman Twp, Malwadi, Hadapsar, Pune",https://www.dominos.co.in/store-locations/pune/fortune-plazahadapsarpunemaharashtra?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website,1800 208 1234
"Pizza Hut | WTC Kharadi, Pune","TOWER-2, City Hub, WTC, F & B No 4, Dholepatil Farms Road, Kharadi, Pune",https://restaurants.pizzahut.co.in/pizza-hut-kharadi-pizza-delivery-kharadi-pune-23032/Home?utm_source=locator&utm_medium=googleplaces,086556 16034
"Domino's Pizza | Kharadi, Pune","Upper Ground Floor, Building bearing C1, अरिस्सा एवेन्यू खराडी, next to HDFC Bank Mouze, 4, Fountain Road, Tulaja Bhawani Nagar, Kharadi, Pune",https://www.dominos.co.in/store-locations/pune/arissa-avenuekharadipunemaharashtra?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website,1800 208 1234
The Sassy Spoon,"Sanskriti Lifestyle, Lane Number 7, Koregaon Park, Pune",http://www.thesassyspoon.co.in/,076662 22111
Navmi Grand Family Restro and Bar,"S.No 50/2, Plot No. 1/2/3, Samrat Ashok Road, Platinum Classic, Chandan Nagar, Pune",N/A,N/A
KFC,"Amanora Town Centre, Magarpatta, Hadapsar, Pune",https://restaurants.kfc.co.in/kfc-hadapsar-restaurants-hadapsar-pune-35030/Home?utm_source=locator&utm_medium=googleplaces,080974 12266
"Pizza Hut | Amanora Mall, Pune","2nd Floor, Amanora Mall, No EB/SF/FC20, Mundhwa - Kharadi Road, East Block, Hadapsar, Pune",https://restaurants.pizzahut.co.in/pizza-hut-ph-amanora-mall-pizzerias-hadapsar-pune-366885/Home?utm_source=locator&utm_medium=googleplaces,1800 202 2022
Jaha's Biryani,"S.NO.181,Panchganga Sahakari Soc, near At the roll's, Behind Amanora Mall East Gate, Q6, Shreenagari Society Road, Hadapsar, Pune",N/A,098505 89834
Shri Swami Samarth Vade Pav,"Shop No 1, Hadapsar, Pune",N/A,097637 74343
Shree Swami Amruthatulay And Snacks Center,"Shop No 01, Hadapsar, Pune",N/A,098596 09292
KFC,"UN T19 & T20, 3rd Floor, Seasons Mall, Magarpatta Road, Pune",https://restaurants.kfc.co.in/kfc-magarpatta-road-restaurants-magarpatta-road-pune-82038/Home?utm_source=locator&utm_medium=googleplaces,091361 27081
Amadas Empanadas,"Shop No. 7, Radha Swami Building, SNO 169, Tupe Nagar, Hadapsar, Pune",https://www.amadasempanadas.com/,070583 08713
