Name,Address,Website,Phone
McDonald's,"Seasons Mall, Unit No F22 Hadapsar, Magarpatta, Pune",https://mcdelivery.co.in/restaurants/pune/125/order-food-online-in-McDonalds-magarpatta-magarpattahadapsar,089283 04182
Kokkita Restaurant and Bar,"Kokkita Restaurant, near Samidha Gas, Tupe Patil Road, Hadapsar, Pune",N/A,073502 19595
Punjabi Grill,"SHOP NO. 16, Ghule Park, near SHREE MAHALAXMI BIRYANI HOUSE, Tupe Patil Road, Hadapsar, Pune",N/A,098229 86574
Mainland China | Hadapsar,"Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",https://www.speciality.co.in/,093705 79603
Barbeque Nation,"GW9P+G45, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune",https://www.barbequenation.com/,080 6902 8725
Chaat Bazaar,"Amanora Mall, Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Burger King,"1st Floor, Amanora Mall, EB FF6A & 6B, Amanora Town Centre, Pune",https://stores.burgerking.in/burger-king-fast-food-restaurant-amanora-town-centre-pune-179328/Home?utm_source=locator&utm_medium=googleplaces,086559 12516
Agent Jack's (Amanora),"Amanora Mall Ground Floor West Block Amanora Town Center, Mundhwa - Kharadi Road, Hadapsar, Pune",http://www.agentjacksbar.com/,090750 22474
Dial A Chicken,"Survey No. 181, Near Ferns N Petals: Florist & Gift Shop, Next To Swagat, Familly Hotel, Malwadi Road, Behind Amanora Mall, Sadesatara Nali, Pune",N/A,079728 54507
Monginis Cake Shop,"Sr No 311, Gandharv Geet, Shop No AO2, H No 18, Sasane Nagar Road, Pune",https://cakeshops.monginis.net/monginis-cake-shop-kian-enterprises-sasane-nagar-cake-shop-sasanenagar-pune-165961/Home?utm_source=locator&utm_medium=googleplaces,090750 01616
Pizza Point,"Shop No. 37, Ravi Darshan Shopping Complex, Pune - Solapur Road, Sadhana Society, Hadapsar, Pune",N/A,072767 25445
BOX8 - India's Largest Desi Meals Brand,"Near, Shop No-9/10, Fortune Plaza, Railway Crossing, Sasane Nagar, Pune",https://box8.in/,N/A
"Domino's Pizza | Malwadi, Pune","Shri Swami Samarth Nagar, Shop No:4,5,14,15,16 & 17 Fortune Plaza, Survey No.44, D.P. Road Hissa No.A Near Sayyed Nagar Railway Gate Mouje Hadpsar ground floor Sasane Nagar DP Road Vardhaman Twp, Malwadi, Hadapsar, Pune",https://www.dominos.co.in/store-location/pune/fortune-plaza-hadapsar-pune,1800 208 1234
Prabhat Chicken Center,"Chintamani Plaza, Solapur - Pune Highway, Utkarsh Nagar, Hadapsar, Pune",N/A,080071 99986
Food Connection,"near Gas godown, Dhaykar wasti, near Gas godown, Hadapsar Station Bridge Path, Pingale Wasti, Mundhwa, Pune",N/A,098818 02777
Safron Exotic,"Bhagwan Tatyasaheb Kawade Road, Ghorpadi, Pune",http://www.safronexotic.com/,084460 67070
