Name,Address,Website,Phone
Mumma's Kitchen,"MIDC Road, New Paccha peth, Sakhar Peth, Solapur",https://instagram.com/mummaa_kitchen_2023?igshid=NTc4MTIwNjQ2YQ==,N/A
Gurukrupa plywood & laminates,"१२१९, न्यु पाच्छा पेठ, जुना वॉलचंद कॉलेज रोड, सोलापूर.",N/A,086685 01608
Anand Kacchi Dabeli Center,"near mahalaxmi mandir, Opp savarkar bagh, near mahalaxmi mandir, Datta Nagar Road, Solapur",https://tech-surya.github.io/akdc.github.io,N/A
ONKAR LUNCH HOME,"Shop No 09, near Ashok Chowk Police Chowki, Main Road, Solapur",N/A,094050 15233
New Haryana Rajasthan Hotel,"Sakhar Peth, Solapur",N/A,084595 65574
Arvind Snacks,"MW8F+89C, opposite to WIT Boys Hostel Road, 1198, New, Near Walchand College, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Sairam special puneri pavchatni,"MW8F+F64, Sakhar Peth, Solapur",N/A,N/A
Solapur Shika kadai,"MW9C+6PQ, Sakhar Peth, Solapur",N/A,N/A
Cafe point solapur,"WIT engineering college Near Post Office Sidhivinayak Arcade, Solapur",N/A,N/A
Mad Chicken Solapur,"behind laxmi temple, WIT college road, New Paccha peth, Solapur",https://www.instagram.com/mad_chicken_solapur/?hl=en,089830 92407
दाल चावल वडापाव,India,N/A,N/A
DURGA FOOD MALL,"Sakhar Peth, Solapur",N/A,097302 39966
Mata Tuljabhawani Mutton Bhajnalay,"08 Datth Nagar, Ashok Chowk Road, Solapur",N/A,098347 77128
SANGITA KIRANA SHOP,"Ashok Chowk, Solapur",N/A,099238 96797
BANDPATTE SHOP,"Ashok Chowk, MIDC Road, Solapur",N/A,N/A
R K Fresh Momos,"opp. Boys Hostel, Shop No 10, New, opp. Boys Hostel, Near Walchand College, New Paccha peth, Solapur",N/A,084079 31404
Anna Bhojanalay,"MADDUR COMPLEX, in front of WIT COLLEGE, opp. MAHALAXMI MANDIR, in front of WIT Engineering College, beside Urban Restaurant And Cafe, Daji Peth, Solapur",N/A,098234 30971
Hotel DAY-NIGHT,"Datta Nagar, Sakhar Peth, Solapur",N/A,N/A
Urban Restaurant & Cafe,"MADDUR COMPLEX, in front of WIT COLLEGE, opposite MAHALAXMI MANDIR, Datta Nagar, Sakhar Peth, Solapur",N/A,N/A
Hotel New Rajwada,"MW9C+89C, WIT college road, Datta Nagar, Sakhar Peth, Solapur",N/A,N/A
Cafe Mr.Bean,"New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
BKC's Chakole Kadai-Sheek & Kabab Katta,"behind Markandeya swimming tank, New Paccha peth, Sakhar Peth, Solapur",N/A,072492 02139
New Ambeshwari Mutton Restaurant,"Unnamed Road, Datta Nagar, Police Head Quarters, Solapur",N/A,N/A
RS Sheek Corner,"behind Markandeya Swimming Pool, Walchand College Road, Solapur",N/A,099230 68882
श्री बालाजी मटन भोजनालय,India,N/A,N/A
Hotel Aarvi,"1810 East, Hn no 23/134, Datta Nagar, Solapur",N/A,076204 19908
Café Creme,"MW9G+4QH, Karnik Nagar Vachanalay Karmik Nagar, New Paccha peth, Sakhar Peth, Solapur",http://www.cafecreme.co.in/,098609 25202
Cafe chocolade,"212/A/13, South Sadar Bazar, Jawaharlal Housing Society, Lashkar, Solapur",N/A,N/A
New Bombay Bakery,"103, Station Road, Railway Line, Solapur",N/A,098817 17530
Sidhheshwar Communications,"MW8C+JM2, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Juice Factory,"Ashok Chowk, Near, New Pachha Peth, Rd, MIDC, Solapur",https://www.juicefactory.info/,N/A
Chintamani Cafe,"Shop No 3, Surya Gym, Walchand Clg Road, Near Walchand College, Sakhar Peth, Solapur",N/A,093590 08065
The Wadapav Cafe,"beside Mahalakshmi Temple, Near WIT College, beside Mahalakshmi Temple, Sakhar Peth, Solapur",N/A,N/A
BMK'S CAFE,"MW9C+6PQ, Inner Ring Road, Sakhar Peth, Solapur",N/A,N/A
N A SHOP,"MIDC Road, Solapur",N/A,097317 12117
Chandu tea house,"MW8F+89H, MIDC Road, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Creamy Nuts Solapur,"opp. WIT COLLEGE, Shop#B3-B4, MOTIWALA PRIME,NEAR DATTA MANDIR, opp. WIT COLLEGE, New Paccha peth, Solapur",N/A,090969 66559
Cafe vintage vibe's,"Gala No 9, Motiwala Pride, opp. WIT College, New Paccha peth, Solapur",N/A,N/A
RR Snacks and Colddrinks,"behind TNS Fitness, Near Walchand College, Solapur",N/A,N/A
Krishna Cafe,"Be Side, TNS Gym, Shop No 1 New Pacha Pet, Near Walchand College, Road, Solapur",N/A,090224 59798
Ajith Nasta Center,"College, 34/A52, Shop No 8, opp. Walchand Hirachand Marg, New Pachha Peth, Ashok Chowk, Solapur",N/A,097308 11582
Creamz Master,"Front Side, HN Collage, Ramchandra Empire, Solapur",N/A,N/A
"Sargam tea and cold drinks, solapur","shop no.7saikrupa, 1821, Datta Nagar, Apparent, Solapur",N/A,N/A
Frosty Kaffee,"R K Gym, behind Uphar Bakery, WIT Collage road, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
CAFE HIDE INN,"near WIT College, Solapur",N/A,091121 16297
Cafe Crush,"opp. HN collage, A35, New Paccha peth, Sakhar Peth, Solapur",http://hnccsolapur.org/,086683 98683
M/s The Coffle,"Markandey Laghu Udhyog Society, near Wit College, 11/1, Solapur",N/A,N/A
CAFE D&D,"opp. Wit clg, Solapur",N/A,N/A
USSR CAFE,"New Pachha Peth, Sakhar Peth, Solapur",N/A,N/A
Cafe Chill Zone,"above Walchand college, New Pachha Peth, New Paccha peth, Sakhar Peth, Solapur, Maharashtra 413006, above Walchand college, Solapur",N/A,070280 79232
Shree’s Cafe,"WALCHAND COLLEGE 413005, PLOT NO-291-B, Ekta Nagar, Solapur",https://www.instagram.com/shrees_cafe05?igsh=MWhjY3d5cTU2ZWhvbg%3D%3D&utm_source=qr,N/A
Mr. Bean & Cream,"105, Swatantra Sainik Nagar, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Omsai Special Kolhapuri Bhel Corner,"MW8G+RJH, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Cafe Kaanha The Veg Treat,"near WIT College, 22/104, Upahar Bakery Road, Swatantrya Sainik Nagar, Solapur",N/A,091684 14962
Star Tea & Coldrinks,"MW78+9X6, Bapuji Nagar, Old Gandhi Nagar, Jawaharlal Housing Society, Solapur",N/A,N/A
Roshi's Dosa,"New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Pavan,"Dat Nagar, Daji Peth, Solapur",N/A,078218 94498
Cafe on the rocks,"MW9G+4QG, New Pachha Peth, Sakhar Peth, Solapur",N/A,N/A
Laxmi Provisional Stores,"Govt College, Solapur",N/A,098344 36931
Tha Chai Master,"Saibaba Chowk, 70 Feet Road, Solapur",N/A,084829 69780
CITY SALES AND MULTISERVISE,"Nagendra Residency Saravade, 70 Feet Road, New Paccha peth, Sakhar Peth, Solapur",N/A,073875 07018
चाय मी,India,N/A,N/A
7 Star Cafe & Juice Center,Gala no. 1 Saankule Chambers Ashok Chambers,N/A,098500 17316
H M Cafe,"02, Ashok Chowk, Solapur",N/A,072495 61579
स्नेहा टी हाऊस,"MW6C+F29, Old Kumbhari Road, Bapuji Nagar, Jawaharlal Housing Society, Police Head Quarters, Solapur",N/A,N/A
गोल्डन टी हाऊस,"MW6C+97G, Inner Ring Road, Jawaharlal Housing Society, Keshav Nagra, Solapur",N/A,N/A
Mallinath Tea House,"Gentyal Chowk, near Vishwa Lights House, Solapur",N/A,091303 49554
Shivsmruti Tea Point,"22/41, Swatantra Sainik Nagar, Karnik Nagar, Sakhar Peth, Solapur",N/A,N/A
Shriram Tea And Canteen,"New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Chaachaa tea and naashtaa,"MWC8+247, Datta Nagar, Bhadravathi Peth, Solapur",N/A,N/A
श्री समर्थ टी हाऊस,"MW5F+V3P, Old Kumbhari Road, Bapuji Nagar, Solapur",N/A,N/A
Sushil T Centre,"Pathrut Chowk, New Paccha peth, Solapur",N/A,081496 07030
Aj Cafe,"Daji Peth, Solapur",N/A,N/A
Panchmi kitchen idli street,"33, 1/5, near MIDC Road, New, Ekta Nagar Road, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
ChaCha Tea and Colddrinks.,"Padmashali Chowk, Telangi Pacha Peth, Shaniwar Peth, Solapur",N/A,N/A
AJ coldrinks and snacks,"RN goli apartment, opposite at JK hospital, 70 Feet Road, Solapur",N/A,N/A
नुरानी टी हाऊस,India,N/A,N/A
New A One Cafe,"Shop No 1, opp. Jamadar Hospital, Telangi Pacha Peth, Shaniwar Peth, Solapur",N/A,098908 21615
खोमणे आरोग्यदायी गुळाचा चहा,India,N/A,N/A
ओम टी हाउस,India,N/A,N/A
Solapur,Solapur,http://www.solapurcorporation.com/,N/A
IDBI Bank,"C S No.5,A/2, South Kasaba Damani Shopping Complex Near Central Talkies Pb.706, Solapur",https://www.idbibank.in/,1800 200 1947
Federal Bank,"Ground Floor, near Linen Club, No. 151, Station Road, Railway lines, Solapur",https://locations.federalbank.co.in/federal-bank-railway-lines-banks-railway-lines-solapur/home,0217 231 0331
IIPS,"near Mahila Hospital, Hotgi Road, Sainath Nagar, Solapur",http://www.iipsindia.co.in/,094220 73107
S S A Arts & Commerce College,"MW96+VCP, Gil Road, New Paccha peth, Solapur",http://saccollege.com/,N/A
OYO Mayura,"99, 99A 18, Mahatma Gandhi Road, Budhavar Peth, Solapur",https://www.oyorooms.com/58174/,0124 620 1126
Malji Traders,"392, Kanna Chowk, Jodbhavi Peth, Solapur",N/A,0217 274 1092
STARiHOTELS Nilanagar Solapur,"N.G. Abdulpurkar Complex, Nilanagar, Beside Bank Of India, Samrat Chowk, Solapur, Maharashtra 413004, Solāpur",N/A,095998 18210
म्याना ट्रेडर्स MYANA TRADERS,"near laxminarayan theater, New Pachha Peth, Vijay Nagar, Solapur",N/A,099705 48429
Mutkiri Spinning Mill,"MWCR+8Q5, Maharashtra State Highway 151, Rajiv Nagar, Rangraj Nagar, Solapur",N/A,N/A
Hotel Srikamal International,"77 Railway Lines Opp. Mayor's Bunglow, Solapur",N/A,091582 05151
M/S. Sumeru Towel,"Main Road, Gandhi Nagar, Rangraj Nagar, Solapur",N/A,N/A
Hirachand Nemchand College of Commerce,"MW8G+9GR, Walchand Hirachand Marg, Ashok Chowk, Solapur",http://hnccsolapur.org/,0217 265 6100
Jay Clinic,"near Govt Polytechnical college, 267/59, Raviwar Peth, Solapur",N/A,0217 262 3015
"Government Polytechnic, Solapur","MWCF+P5V, Akkalkot Road, Shanti Chowk, Solapur",http://gpsolapur.ac.in/,0217 265 3922
SONY,"Shop No 20 - 22, Social Bank, Siddheswar Shopping Centre, Near, Siddheshwar Mandir Road, Sidheshwar Peth, Solapur",https://www.sony.co.in/microsite/retailshops/?cid=gwt:footer:location,079721 84661
EPSON CERTIFIED CHANNEL PARTNER - Shree Giriraj Computers,"No TP 1, Motiwala Pride, opposite New IT College, Plot No 23/163, New Paccha peth, Solapur",https://epsoncertifiedpartner.epson.co.in/epson-certified-channel-partner-shree-giriraj-computers-printing-equipment-and-supplies-new-paccha-peth-solapur-328733/Home?utm_source=locator&utm_medium=googleplaces,085058 66363
Daji Peth Post Office,"MW9C+9GV, near Vivco process, Solapur",N/A,N/A
T.I.M.E.,"34 A/SUBP-15, Chippa Complex, opp. Walchand College, MIDC Road, New Paccha peth, Solapur",http://www.time4education.com/,0217 239 2044
Jule,Jule,N/A,N/A
A-Tex India,"155, 2-A, Akkalkot Road, Gandhi Nagar, Rangraj Nagar, Solapur",N/A,0217 274 5820
Sadar Bazaar Police Station,"Police Station Road, Off, Hotgi Road, Sadar bazaar, Old Gandhi Nagar, Solapur",http://solapurcitypolice.gov.in/PoliceStations,0217 274 4641
Pulgam Textiles Showroom,"1468/69, Daji Peth, Solapur",N/A,0217 262 2146
Design For Gents,"Navi Peth, Goldfinch",N/A,N/A
Savani Transport P Ltd.,"PLOT NO. C-5, M.I.D.C, Akkalkot Road, JAKKAN COMPOUND, Solapur",N/A,0217 274 7561
Tata Ganpati Sanskrutik Mandal Solapur,"266/18, Raviwar Peth, Solapur",N/A,099236 63313
Axis Bank Branch,"No 276/1, Saurabh Apartment, opposite Savaskar Nursing Home, Hotgi Road, Solapur",https://branch.axisbank.com/axis-bank-hotgi-road-solapur-bank-branch-solapur-maharashtra-38117/Home?utm_source=locator&utm_medium=googleplaces,1860 500 5555
Ashwath Infotech Pvt. Ltd.,"164, Rupa Bhavani Road, Railway lines, Jawaharlal Housing Society, Keshav Nagra, Solapur",N/A,094056 24412
Bhushan Industries,"A-34 & W-16 Chincholi, MIDC, Solapur",N/A,072493 07781
Dr. Metan Hospital,"near Bakale Collections, 19 Jodbhavi peth, Kanna Chowk, Solapur",https://www.drmetanhospital.com/,0217 274 2150
National Child Labour Project,"Central Administrative Building, 1st Floor, A-wing, Collector Compound, Sidheshwar Peth, Solapur",https://solapur.gov.in/en/document/national-child-labour-project/,0217 273 1039
Axis Bank Branch,"9591/1/2, Ground Floor, Laxmi Niwas, Kanna Chowk, Raviwar Peth, Solapur",https://branch.axisbank.com/axis-bank-kanna-chowk-bank-branch-solapur-maharashtra-38678/Home?utm_source=locator&utm_medium=googleplaces,1860 500 5555
Darasha Maternity Hospital,"MW46+J29, Jawaharlal Housing Society, Keshav Nagra, Solapur",N/A,0217 274 0390
Shamsundar Ramkisan Rathi (S. R. Rathi),"MWFM+92G, Akkalkot Road, Gandhi Nagar, Solapur",http://www.srrathitextiles.com/,099700 44511
Padma Chitra Mandir,"MWH7+3CQ, National Highway 65, Ganesh Peth, Shaniwar Peth, Solapur",N/A,099228 83389
Soham Computer Academy,"behind Vijay Enterprises, 267/64A, Kuchan Highschool Road, Raviwar Peth, Solapur",N/A,093705 47300
Abhishek Paints,"Shop No. 1, 4, 5, Nath Pride, behind Civil Hospital, Solapur",N/A,088558 43339
Frankfinn Institute Of Air Hostess Training,"3rd Floor, Sun Plaza, Lucky Chowk, Solapur",https://www.frankfinn.com/?utm_source=Organic&utm_medium=GMB,0217 232 4911
Chilka Weaving Mill,"1339, Markandeya Rugnalaya Road, Bhadravathi Peth, Solapur",https://instagram.com/chilka_weaving_mill?igshid=MzRlODBiNWFlZA==,074983 17311
Essar Petrol Pump,"36, Solapur - Akkalkot Road, Gandhi Nagar, Rangraj Nagar, Solapur",N/A,1800 120 0330
Skin City India - Skin Care and Hair Fall Treatment Specialist,"Near Kamat Hotel, Old Employment Chowk, Solapur",https://www.skincityindia.com/solapur-skin-hair-clinic/,0217 231 3939
Associated Road Carriers Limited,"NEAR AKASHVANI KENDRA, E-33, MIDC, NEAR AKASHVANI KENDRA, Akkalkot Road, Solapur",http://www.arclimited.com/,0217 274 5970
Kshirsagar Fabrics Mill Showroom,"near New Building of Civil Hospital, Nath Pride, near New Building of Civil Hospital, Civil Chowk, Solapur",http://www.terrytowel.in/,0217 231 7425
Boga Advertising,"No. 51/3/6, Satysai Nagar, Ashok Chowk, Near Lokseva High School, Geeta Mandir, Solapur",N/A,098500 39835
SHREE TIRUPATI COURIER SERVICES PVT.LTD.-SOLAPUR,"near KAKA HALWAI, opp. RASHIK NASTAWALA, 470, Sakhar Peth, Solapur",http://www.shreetirupaticourier.net/,0217 262 8567
Andhra Bank,"Jodbasawanna Chowk, 1291, Bhadravati Peth, Bhadravati Peth, Solapur",N/A,0217 272 6221
Vishwa Light House,"New Pachha Peth, 943, Inner Ring Road, Solapur",N/A,0217 274 4462
MSEDCL Urban D Sub-division Office,"MWGF+W5R, Gandhi Nagar, Police Lines, Solapur",http://www.msebindia.com/,022 4029 3000
ICICI Bank Vairag-Branch & ATM,"Barshi Road Gatgrampanchayat Number 2225, Jagtap Complex, Solapur, Vairag",http://www.icicibank.com/?utm_source=google&utm_medium=map&utm_content=-ICICI-Bank-Vairag-Branch-ATM&utm_campaign=google-places,1800 1080
Walchand Institute of Technology,"634, Walchand Hirachand Marg, Ashok Chowk, Solapur",http://www.witsolapur.org/,0217 265 2700
Ashwini Sahakari Rugnalaya,"Survey No. 7107/1 Plot No. 180, North, South Sadar Bazar, Solapur",http://www.ashwinihospital.co.in/,N/A
D R Shriram English Medium School,"272, Bhadravathi Peth Road, Raviwar Peth, Solapur",http://www.drenglishschool.com/,0217 274 3904
B Y Tailor,"133, Rajendra Chowk, Songla, Jawaharlal Housing Society, Solapur",http://www.bytailors.com/,N/A
Market Police Station,"MWC4+6P2, Sidheshwar Peth, Solapur",N/A,0217 274 4625
Shri Pharma Medical and General Store,"Varun Plaza Building, near Reliance Jio Store, 163, Kanna Chowk, Solapur",N/A,079727 89851
Axis Bank ATM,"Shop No 6, Mahapadma Complex, opposite Police Station, Ashok Chowk, Sakhar Peth, Solapur",https://branch.axisbank.com/axis-bank-mahapadma-complex-atm-solapur-maharashtra-52314/Home?utm_source=locator&utm_medium=googleplaces,1860 500 5555
Padsalgi Textile Showroom,"beside kamala bank, 152, Akkalkot Road, Solapur",N/A,094220 66637
Best One,"near Yashodhara Hospital, 109, Shop No. 1, Siddheshewar Peth, Aboli Complex, Z.P. Rd, near Yashodhara Hospital, Solapur",N/A,0217 272 4819
State Bank of India,"MW7C+XJ7, New Paccha peth, Sakhar Peth, Solapur",https://www.sbi.co.in/,1800 11 2211
Vitthal Mandir,"MWHC+W8X, Vitthal Peth, Police Lines, Solapur",N/A,N/A
Shatri Nagar Tadi Shop,"MW8C+JH8, Ashok Chowk, Solapur",N/A,N/A
Khajesab Shop,"Ashok Chowk, Solapur",N/A,091135 13904
Hotel Chandrika,"Sakhar Peth, New Paccha Peth, Solapur",N/A,099220 77616
Hotel Daithya Bar & Restaurant,"MW9C+78P, Datta Nagar, Police Head Quarters, Solapur",N/A,N/A
अशोक चौक सरकारमान्य ताड़ी दुकान,"1041, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
S V Guttedar Desi Daaru Dukaan,"MW7F+82J, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
Tanishka Rooftop Bar and Restaurant,"New Paccha peth, Sakhar Peth, Solapur",N/A,080879 44922
Hotel Rimzim,"MW6C+J7H, Bapuji Nagar, Jawaharlal Housing Society, Solapur",N/A,0217 231 1343
Sadashiv Wines,"Ashok chowk, Bapuji Nagar, Jawaharlal Housing Society, Sakhar Peth, Solapur",N/A,0217 231 2224
Vishal Juice Centre,"house no. 1430, vishal juice center, municipal corp zone 3, Shop no. 2, ground floor, plot no. 20/50, Daji Peth, Bhadravathi Peth, Solapur",N/A,083790 57232
Nitin Dashi Daru,"Old Kumbhari Rd, Bapuji Nagar, Jawaharlal Housing Society, Road, New Paccha peth, Police Head Quarters, Gentyal tokies",N/A,081778 37703
U.K. Wines,"MW6C+47W, Bapuji Nagar, Jawaharlal Housing Society, Solapur",N/A,N/A
S S Enterprises,"Shop No 8, New, 70 Feet Road, New Paccha peth, Sakhar Peth, Solapur",N/A,099602 10258
रविवार पेठ सरकारमान्य ताड़ी दुकान,"267/29, Raviwar Peth, Bhadravathi Peth, Solapur",N/A,N/A
Hotel Prashant Bar,"MWF9+FHW, Bhadravathi Peth, Solapur",N/A,N/A
Hotel Sagar Bar And Restaurant,"MWF9+J9F, Jodabasavanna Chowk Road, Bhadravathi Peth, Solapur",N/A,082754 75416
YASHRAJ BAR AND RESTAURANT,"Sakhar Peth, Solapur",N/A,N/A
HOTEL U K SHAHI,"Shop No 01 Main Road, Gharkul Road, New Vidi, Solapur",N/A,091587 14574
RP bar & Resto,"MWF9+P63, Maharashtra State Highway 151, Bhadravathi Peth, Solapur",N/A,N/A
Samrath Bar,"opp. apmc market, Raviwar Peth, Solapur",N/A,N/A
Sagar Permit Bar,"Shop No -1, Ashwini Tower, 70 Feet Road, New Paccha peth, Sakhar Peth, Solapur",N/A,099225 59635
Beer Bar Restro,"MWG9+M4W, Shaniwar Peth, Pargaon",N/A,096049 15544
Central Multispeciality Hospital,"Moulali Chowk, Shastri Nagar, Jawaharlal Housing Society, Keshav Nagra, Solapur",N/A,N/A
Hotel B Prakash Bar & Resto,"near Laxminarayan Talkies, Plot No. 45/2, Juna Kumbhari Naka, near Laxminarayan Talkies, Akkalkot Road, MIDC, Solapur",N/A,N/A
Nagnath Palli Tadi Shop,"31, MIDC Road, Aadarsh Nagar, Nagendra Nagar, Shivaganga Nagar, Solapur",N/A,N/A
Hotel Anand,"199, Solapur Road, Raviwar Peth, Solapur",N/A,0217 274 3100
Parvin Soda,"Shop No 9, Begum Peth, Solapur",N/A,088303 39138
Solapur labbak cok,"26b, Shaniwar Peth, Solapur",N/A,N/A
Bar Restro,"MWJF+93H, Bhavani Peth, Solapur",N/A,N/A
Sheetal Bar And Restaurant,"MWJ8+37W, Bhavani Peth, Solapur",N/A,N/A
Hotel City View Veg & Bar Restaurant,"MWH6+6HF, Guruwar Peth, Solapur",N/A,N/A
The Officer's Club,"MW37+6GQ, Ratandeep Housing Society, Solapur",N/A,N/A
Munna Pan Shop,"MW54+GXG, near Huma Medical, Rupa Bhavani Road, South Sadar Bazar, Jawaharlal Housing Society, Keshav Nagra, Solapur",N/A,N/A
Hotel Palavi,"MW54+GWF, Saat Rasta, near Huma Medical, Solapur",N/A,N/A
Solapur,"MW54+XH6, Solapur",N/A,N/A
Nisrag baar and restho,"MW54+XH6, Solapur",N/A,N/A
Hotel Anand resto&bar,"MW54+XH6, Solapur",N/A,N/A
Hotel New Ramkrishna,"775, Shivganag Mandir Road, Kumbhar Galli, Ves, Solapur",N/A,099754 32436
Patel Juice Centre,"MW4P+VCQ, MIDC, Solapur",N/A,N/A
Buzz Lounge & Buzz Al Fresco,"560, In Hotel Pratham, 61, South Sadar Bazar, Keshav Nagra, Solapur",N/A,093229 45383
Hotel Pratham,"560, near CP Office, 61, South Sadar Bazar, Keshav Nagra, Solapur",http://www.hotelpratham.com/,N/A
Hotel Supraja Savji Bar,"Mahavir Chowk, Old, Hotgi Road, Naka, Solapur",N/A,N/A
Yatiraj Hotel,"Railway Station Road, Modi Khana, Navi Peth, Solapur",N/A,N/A
Zen Multicuisine Resto Bar,"MW72+8CG, Old Employment Chowk, Solapur",N/A,N/A
Samarth Enterprise,"Shop No 1, Bhavani Peth, Solapur",N/A,080076 37390
B S Tanda Desi Daaru Dukaan,"Plot No. 85, 106 New Sunil Nagar - 1, MIDC, Solapur",N/A,N/A
Prashant Beear Shop,"1, Vijay Maruti Chowk, I Group Vidi Gharkul, New Rangraj Nagar, Rangraj Nagar, Solapur",N/A,N/A
Hotel Shambhavi,"Shop No 01, Kumbhari",N/A,093707 86977
Liberty wine shop,"MWJ4+F37, Budhavar Peth, Solapur",N/A,N/A
